GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRP,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBG,TL_GEO_ID,NAME_E,APAGE001,APAGE002,APAGE003,APAGE004,APAGE005,APAGE006,APAGE007,APAGE008,APAGE009,APAGE010,APAGE011,APAGE012,APAGE013,APAGE014,APAGE015,APAGE016,APAGE017,APAGE018,APAGE019,APAGE020,APAGE021,APAGE022,APAGE023,APAGE024,APAGE025,APAGE026,APAGE027,APAGE028,APAGE029,APAGE030,APAGE031,APAGE032,APAGE033,APAGE034,APAGE035,APAGE036,NAME_M,APAGM001,APAGM002,APAGM003,APAGM004,APAGM005,APAGM006,APAGM007,APAGM008,APAGM009,APAGM010,APAGM011,APAGM012,APAGM013,APAGM014,APAGM015,APAGM016,APAGM017,APAGM018,APAGM019,APAGM020,APAGM021,APAGM022,APAGM023,APAGM024,APAGM025,APAGM026,APAGM027,APAGM028,APAGM029,APAGM030,APAGM031,APAGM032,APAGM033,APAGM034,APAGM035,APAGM036
"G0100010","2017-2021","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01001",,,"01001","Autauga County, Alabama",35881,51565,53558,54750,53229,73949,62778,79123,66795,40840,37560,30833,42968,14808,53810,70331,19000,16384,26092,50688,51688,44412,12625,21173,9236,31480,26595,33019,42825,46138,33875,44535,33886,35954,38962,25572,"Autauga County, Alabama",2787,4298,4454,14623,2953,10166,28776,5046,12882,7266,20624,36372,5059,14438,5010,11051,20887,4455,4253,43915,55882,40224,3965,3384,3442,4272,8597,3394,4652,28068,12330,9729,5379,8779,9596,3234
"G0100030","2017-2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01003",,,"01003","Baldwin County, Alabama",38582,57473,64158,64377,63281,75174,62484,89736,53963,44253,38857,71181,46144,33294,61105,68352,31761,21547,25006,46588,37353,48272,12331,25499,19312,31858,31204,32396,38037,32303,35991,45738,31402,34673,38542,21996,"Baldwin County, Alabama",1541,2088,4481,6240,8341,9456,6980,15997,26353,2164,11542,40729,2258,2400,6959,8084,4491,1869,2654,3869,4239,5898,2528,6285,10636,1748,3170,2196,5712,12804,4358,7715,2566,5303,8156,3765
"G0100050","2017-2021","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01005",,,"01005","Barbour County, Alabama",31091,50107,62891,69167,50625,63068,65714,64773,42656,42005,29750,133681,45673,52750,42031,48472,28750,18098,22821,18591,14803,19844,15288,26964,9661,23816,12806,27593,34664,33170,30069,57207,31284,35600,29722,27917,"Barbour County, Alabama",1867,4660,9460,22038,14454,29852,63869,57033,43797,8398,13192,53297,10170,68361,7928,16215,11833,2722,12991,2780,6282,19316,2755,10944,7536,6818,3707,1971,12423,3883,3668,14391,4300,4870,16127,7754
"G0100070","2017-2021","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01007",,,"01007","Bibb County, Alabama",32796,48953,69250,66992,73720,49727,68920,49531,44000,36786,22292,,41101,15469,48722,54613,27847,22047,26029,30298,25833,78239,20104,19848,20568,26079,25446,27484,40129,18458,40069,41061,37261,38210,42135,28750,"Bibb County, Alabama",3700,7283,13173,20503,21733,24272,461,18305,697,27888,78602,,19094,12028,21143,12693,4930,2133,12516,25977,19929,47044,12704,19294,5357,2931,8896,12080,14955,14248,16385,15449,4094,10941,22190,7924
"G0100090","2017-2021","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01009",,,"01009","Blount County, Alabama",38435,53228,63060,63976,55737,61058,70917,54722,43365,50530,43000,57827,50824,21163,52260,54627,43125,22785,22087,55227,58750,46111,15222,35922,12334,31655,28052,34771,42053,32577,40356,51732,33182,38233,33868,25266,"Blount County, Alabama",2140,2100,11317,11201,6288,6902,44848,20079,11781,3533,14820,9006,3677,8600,1773,4201,15525,3890,3442,27006,31374,31091,5424,1858,6021,2489,5307,5395,2705,18224,5418,5564,2030,4920,3909,4945
"G0100110","2017-2021","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01011",,,"01011","Bullock County, Alabama",28713,35545,41759,37115,50385,21391,,,,29853,47222,,29779,,47768,70469,41458,19892,30179,21574,41667,,28672,7019,17931,24063,18571,24688,55129,63305,48578,63594,27372,27917,23750,25882,"Bullock County, Alabama",4010,21253,20685,30057,26819,733,,,,27089,55720,,21612,,20732,61609,14465,3300,11340,516,38165,,20059,10262,8732,22245,31052,109849,13312,53217,14161,74037,2605,3255,10791,28190
"G0100130","2017-2021","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01013",,,"01013","Butler County, Alabama",30083,50578,63947,64145,62125,67982,69051,38571,28317,40625,44712,67955,22917,49231,42396,52179,39125,14490,20893,15000,8571,,13227,16429,9792,28555,27196,29872,29025,44125,27850,30612,30299,30236,33393,28017,"Butler County, Alabama",1309,5114,15072,30727,37250,16693,694,32549,15327,13025,10261,62014,21643,48118,11147,17636,6318,2209,19030,52487,71747,,3266,9790,16786,3494,7348,3710,2980,881,2580,13915,1941,3221,15555,6192
"G0100150","2017-2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01015",,,"01015","Calhoun County, Alabama",32964,52446,58125,59286,53578,58036,52856,63558,61367,40067,42941,38106,41761,17038,60327,70542,42308,19154,23244,41167,29598,44643,11077,27553,18365,25597,21980,27009,37894,25313,34801,44359,33099,34476,42218,24935,"Calhoun County, Alabama",1145,3077,5634,7616,8451,12031,2785,1204,10679,4594,11319,18871,6033,15475,9205,11682,12337,2644,3819,8860,10244,9771,1608,2625,5772,2294,3576,3108,3095,13515,6379,9936,2107,5631,8321,4094
"G0100170","2017-2021","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01017",,,"01017","Chambers County, Alabama",32025,47979,50903,51025,50531,54844,65662,63056,44313,42378,46321,31027,48737,40264,44054,54063,31979,21042,20968,39583,30000,50764,15801,21167,21481,27401,28451,26957,27197,25441,27462,38056,32962,33099,36408,30640,"Chambers County, Alabama",1990,3365,4050,5829,13429,27657,42269,50914,20643,9712,12417,10327,4750,4470,8738,12451,12337,713,1011,20776,8775,8568,6851,8769,18693,2272,9202,2212,5891,12089,4210,31002,2974,2706,11592,7467
"G0100190","2017-2021","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01019",,,"01019","Cherokee County, Alabama",36205,57601,61159,60833,62989,37188,37188,33988,51635,55607,35625,223657,56399,38286,60833,62700,48438,15650,18167,48352,48929,38594,8393,12500,40484,32876,31163,34192,35208,,24750,51232,31355,29511,49612,30088,"Cherokee County, Alabama",3300,3631,1941,3026,10691,27184,25941,53671,99798,4021,19941,48270,3058,9681,9139,8029,22511,4252,10386,14384,6434,26240,8913,15822,41170,2466,5556,2086,6596,,10607,7788,2099,3687,9445,24218
